Question ID, CCTV ID, Time Range, Query 
Q16, CCTV04, 00:00:00 - 12:00:00, "ในช่วงเช้าของวันที่ 10 พฤษภาคม 2026 มีรถอะไรวิ่งผ่านกล้อง CCTV04 บ้างครับ รบกวนสรุปแยกตามยี่ห้อและสีให้หน่อย"
Q17, CCTV01, 00:00:00 - 23:59:59, "อยากทราบสถิติตลอดทั้งวันที่ 12 พฤษภาคม 2026 ของกล้อง CCTV01 ครับว่ามีรถยี่ห้อไหนผ่านไปกี่คันบ้าง"
Q18, CCTV10, 00:00:00 - 23:59:59, "รถที่วิ่งผ่านกล้อง CCTV10 ตลอดทั้งวันที่ 14 พฤษภาคม 2026 ส่วนใหญ่เป็นสีอะไรครับ ช่วยแจกแจงจำนวนแต่ละสีให้หน่อย"
Q19, CCTV03, 18:00:00 - 23:59:59, "ในช่วงค่ำของวันที่ 13 พฤษภาคม 2026 กล้อง CCTV03 บันทึกรถยี่ห้อและสีอะไรไว้ได้บ้างครับ"
Q20, CCTV07, 12:00:00 - 18:00:00, "บ่ายวันที่ 11 พฤษภาคม 2026 มีรถผ่านกล้อง CCTV07 ยี่ห้ออะไรบ้างและกี่คัน"
Q21, CCTV08, 12:00:00 - 23:59:59, "ครึ่งวันหลังของวันที่ 10 พฤษภาคม 2026 กล้อง CCTV08 บันทึกสีรถอะไรไว้ได้บ้างครับ"
Q22, CCTV09, 00:00:00 - 23:59:59, "อยากทราบสรุปการจราจรผ่านกล้อง CCTV09 ในวันที่ 14 พฤษภาคม 2026 ครับ มีรถยี่ห้อและสีอะไรบ้าง"
Q23, CCTV04, 00:00:00 - 12:00:00, "ในช่วงเช้าของวันที่ 13 พฤษภาคม 2026 มีรถสีอะไรบ้างวิ่งผ่านกล้อง CCTV04 ครับ"
Q24, CCTV01, 00:00:00 - 12:00:00, "สรุปยี่ห้อรถที่ผ่านกล้อง CCTV01 ช่วงครึ่งวันแรกของวันที่ 14 พฤษภาคม 2026 มีอะไรบ้างครับ"
Q25, CCTV03, 00:00:00 - 12:00:00, "ในช่วงเช้าของวันที่ 10 พฤษภาคม 2026 กล้อง CCTV03 บันทึกรถสีอะไรไว้ได้กี่คันบ้างครับ"
Q26, CCTV07, 18:00:00 - 23:59:59, "ช่วงค่ำของวันที่ 12 พฤษภาคม 2026 มีรถผ่านกล้อง CCTV07 แยกตามยี่ห้อและสีอะไรบ้างครับ"
Q27, CCTV10, 12:00:00 - 23:59:59, "ช่วยสรุปจำนวนรถแต่ละยี่ห้อที่วิ่งผ่านกล้อง CCTV10 ในช่วงครึ่งวันหลังของวันที่ 11 พฤษภาคม 2026 หน่อยครับ"
Q28, CCTV04, 00:00:00 - 23:59:59, "อยากรู้จังว่าตลอดทั้งวันที่ 10 พฤษภาคม กล้อง CCTV04 ตรวจเจอรถประเภทไหนบ้าง และแต่ละประเภทมีจำนวนเท่าไหร่ครับ" 
Q29, CCTV01, 00:00:00 - 12:00:00, "ช่วยเช็คข้อมูลช่วงเช้าวันที่ 13 พฤษภาคม ของกล้อง CCTV01 หน่อยครับ ว่ารถยี่ห้อไหนเป็นรถประเภทอะไรบ้าง"
Q30, CCTV03, 00:00:00 - 23:59:59, "ในวันที่ 11 พฤษภาคม กล้อง CCTV03 บันทึกภาพรถยี่ห้อ BMW ได้กี่ครั้ง และแต่ละครั้งเป็นสีอะไรบ้าง"
Q31, CCTV09, 15:00:00 - 16:00:00, "อยากทราบว่าในชั่วโมงเร่งด่วนช่วงบ่าย 3 ถึง 4 โมงเย็นของวันที่ 10 พฤษภาคม กล้อง CCTV09 เจอรถอะไรบ้าง สรุปตามยี่ห้อและสีให้หน่อย"
Q32, CCTV10, 00:00:00 - 06:00:00, "สรุปยอดรถที่ผ่านกล้อง CCTV10 ในช่วงเช้ามืดของวันที่ 14 พฤษภาคม หน่อยครับ ว่ามีรถยี่ห้อและสีอะไรบ้าง"
Q33, CCTV07, 00:00:00 - 23:59:59, "อยากทราบสถิติว่าในวันที่ 12 พฤษภาคม ตลอดทั้งวัน กล้อง CCTV07 ตรวจเจอรถยี่ห้อไหนบ่อยที่สุด เรียงลำดับจำนวนมาให้ด้วยครับ"
Q34, CCTV08, 00:00:00 - 23:59:59, "ช่วยสรุปจำนวนสีรถทั้งหมดที่ผ่านกล้อง CCTV08 ในวันที่ 11 พฤษภาคม ให้หน่อยครับว่ามีสีละกี่คัน"
Q35, CCTV01, 06:00:00 - 12:00:00, "ช่วงครึ่งวันแรกของวันที่ 14 พฤษภาคม กล้อง CCTV01 ตรวจพบรถประเภทไหนมากที่สุดครับ"
Q36, CCTV10, 18:00:00 - 21:00:00, "ในช่วงหัวค่ำวันที่ 10 พฤษภาคม กล้อง CCTV10 บันทึกรถยี่ห้อและประเภทไหนได้บ้างครับ"
Q37, CCTV04, 00:00:00 - 23:59:59, "สถิติรถแยกตามยี่ห้อของกล้อง CCTV04 ตลอดทั้งวันที่ 13 พฤษภาคม เป็นอย่างไรบ้างครับ"
Q38, CCTV07, 00:00:00 - 23:59:59, "สีรถยอดนิยมที่วิ่งผ่านกล้อง CCTV07 ในวันที่ 14 พฤษภาคม มีสีอะไรบ้างและจำนวนเท่าไหร่"
Q39, CCTV09, 21:00:00 - 23:59:59, "ช่วงดึกของวันที่ 11 พฤษภาคม มีรถอะไรผ่านกล้อง CCTV09 บ้างครับ รบกวนสรุปแยกตามยี่ห้อและประเภทรถ"
